0;0;0;0;land;false;unknown;0
1;247;141;165;land;false;plains;1
2;252;201;227;land;false;plains;1
3;238;253;226;land;false;plains;1
4;227;102;222;land;false;plains;1
5;185;224;143;land;false;plains;1
6;114;213;251;land;false;plains;1
7;159;98;253;land;false;plains;1
8;222;70;247;land;true;plains;1
9;231;201;72;land;false;plains;1
10;221;133;232;land;false;plains;1
11;207;225;225;land;false;plains;1
12;201;155;219;land;false;plains;1
13;117;244;168;land;false;plains;1
14;232;218;180;land;false;plains;1
15;126;241;181;land;false;plains;1
16;225;128;221;land;false;plains;1
17;203;94;225;land;false;plains;1
18;144;175;186;land;false;plains;1
19;169;153;181;land;false;plains;1
20;245;134;192;land;false;plains;1
21;126;244;184;land;false;plains;1
22;180;151;241;land;false;plains;1
23;172;237;139;land;false;plains;1
24;243;230;208;land;false;plains;1
25;189;81;253;land;false;plains;1
26;193;190;224;land;false;plains;1
27;166;235;116;land;false;plains;1
28;135;239;197;land;false;plains;1
29;231;167;250;land;false;plains;1
30;209;223;223;land;false;plains;1
31;147;241;123;land;false;plains;1
32;204;187;198;land;false;plains;1
33;165;217;251;land;true;plains;1
34;106;196;233;land;false;plains;1
35;208;210;247;land;false;plains;1
36;210;111;235;land;false;plains;1
37;226;230;66;land;false;plains;1
38;235;102;247;land;false;plains;1
39;251;225;233;land;false;plains;1
40;250;253;25;land;false;plains;1
41;220;200;83;land;false;plains;1
42;200;100;204;land;false;plains;1
43;219;216;109;land;false;plains;1
44;150;160;216;land;false;plains;1
45;178;244;223;land;false;plains;1
46;154;200;218;land;false;plains;1
47;226;93;215;land;false;plains;1
48;194;246;102;land;true;plains;1
49;185;102;250;land;false;plains;1
50;247;243;244;land;false;plains;1
51;187;105;245;land;false;plains;1
52;62;203;245;land;false;plains;1
53;179;225;198;land;false;plains;1
54;175;198;253;land;false;plains;1
55;162;149;248;land;false;plains;1
56;213;192;102;land;true;plains;1
57;221;187;114;land;false;plains;1
58;223;139;195;land;false;plains;1
59;171;248;167;land;false;plains;1
60;138;130;239;land;false;plains;1
61;156;201;155;land;false;plains;1
62;90;206;228;land;false;plains;1
63;201;125;207;land;false;plains;1
64;247;199;160;land;false;plains;1
65;137;215;172;land;false;plains;1
66;251;194;107;land;true;plains;1
67;142;205;160;land;false;plains;1
68;231;100;242;land;false;plains;1
69;240;132;182;land;false;plains;1
70;170;223;227;land;false;plains;1
71;178;238;218;land;false;plains;1
72;193;108;212;land;false;plains;1
73;222;49;244;land;false;plains;1
74;215;248;79;land;false;plains;1
75;212;153;160;land;false;plains;1
76;240;160;101;land;false;plains;1
77;228;214;164;land;false;plains;1
78;133;218;205;land;false;plains;1
79;59;205;247;land;false;plains;1
80;123;164;229;land;false;plains;1
81;138;218;229;land;false;plains;1
82;80;250;242;land;false;plains;1
83;204;150;191;land;false;plains;1
